Country,PWT_Code,WDI_Code,pop75,pop09,gpop,k1975,k2009,kpw1975,kpw2009,hc1975,hc2009,rgdpwk1975,rgdpwk2009,rgdpch1950,rgdpch1955,rgdpch1960,rgdpch1965,rgdpch1970,rgdpch1975,rgdpch1980,rgdpch1985,rgdpch1990,rgdpch1995,rgdpch2000,rgdpch2005,rgdpch2006,rgdpch2007,rgdpch2008,rgdpch2009,gy7509,prodgrowth,ki1975,ki2009,meanki,natsav09,grodomsav75,grodomsav09,govsp75,govsp09,privcap75,privcap09,fdi75,fdi09,imports75,imports09,trade75,trade09,openfrac,tradetax09,martax09,migration10,labfor75,labfor09,labpop75,labpop09,indgdp75,indgdp09,agrigdp75,agrigdp09,aggdpperagworker09,percemployagr10,natcap00,mindep09,endep09,fordep09,co2emm07,tfr75,tfr09,infmor09,malaria94,malariaecology,calories07,lifeex75,lifeex09,agedep75,agedep09,avgsch75,avgsch2010,secsch09,collegeadultpop2010,compcollegeadultpop2010,avgyrsfemaleed,testscores09,intuser09,tele09,cells09,comp05,gini75,gini09,topincsh09,botincsh09,laborshare,ethnicfractionalization,rulelaw2009,corrcon09,polrights10,instability,soccapability,thrift,obedience,perseverance,faith,techvstrad,trust,work,wellbeing,africa,asia,westerneurope,latitude,area,popden60,A__missing_values
Cambodia,KHM,KHM,7491268,14200000,1.880893791,,37258263598,,4959.020185,2.081072,2.284576,1581.371512,3201.218705,,,,,1094.997,735.9289,561.7385,569.4717,735.86,854.8262,1067.573,1559.998,1706.91,1800.713,1844.841,1765.974,2.574482787,,8.318896,17.03902,12.00833,7.427653,,18.29447153,,7.962823046,,4.821476669,,5.074481328,,62.65562442,,122.2682227,,16.09981441,,-5000,3486240,7833526.263,46.53738192,55.16567791,,22.64420901,,35.32240738,200.5673811,65.8539826,4733,0,0,0.191133606,0.309770521,4.93,2.859,68,100,8.3404121,2245,33.96731707,61.50121951,81.98665906,58.14852676,4.76,5.7715,,0.9,0.5,5.4309,,0.526836298,0.366083684,37.77686429,2.75,,44.37,51.68,6.57,,0.210464,-1.045970777,-1.184211418,6,0.625704899,,,,,,,,,,,1,,12.69332,182318.4,,30
Cameroon,CMR,CMR,7521530,18900000,2.709977492,20170000000,71985733559,7026.388496,9622.240932,1.49691,2.184529,4213.188931,4429.617553,,,1241.292,1327.201,1303.248,1607.972,1979.304,2511.586,1896.773,1540.458,1688.442,1793.105,1809.185,1826.247,1837.3,1811.045,0.349794909,-0.90207705,18.17822,23.93296,18.4929,20.47083,17.11578755,,10.89335377,,,-0.195820614,,1.533040393,25.54303477,30.900633,48.2279939,57.47627078,0.2,,,-19000,2870607,7727247.35,38.16520043,40.88490661,18.242692,,29.1197122,,,40.9008919,34771,0.097595056,4.717068469,0,0.330271623,6.366,4.541,94.6,100,14.71727,2259,48.13190244,51.35556098,89.46233508,80.10173599,1.5491,5.9067,41.45246,2.4,1.6,5.095,,3.841889349,1.658625592,37.8920885,9.98,,44.56,50.86,5.62,,0.86348999,-1.069173598,-0.919503465,6,0.409154336,-1.34,,,,,,,,,1,,,5.680264,463006.3,0.1128366,21
Canada,CAN,CAN,23200000,33500000,1.080568118,8.348E+11,3.09318E+12,82653.46535,163136.4332,2.811777,3.154963,48427.10574,63519.47848,11229.5,12535.16,12987.91,15554.17,17966.47,21082.49,23720.4,25553.53,27641.04,28446.65,33460.22,36451.29,37183.59,37704.36,37517.22,36208.9,1.590770902,-0.094499582,17.91433,21.61025,19.23209,18.71469,23.22242125,19.25829214,21.83088451,21.86544653,4.051006401,5.277401945,1.983877393,1.489308701,24.1871663,30.42849968,46.62108846,59.14353754,1,1.345358831,,1049999,10100000,19096475.27,43.53448276,57.00440379,35.63704574,,5.275141873,,,1.8560047,711,0.435288705,1.903614476,0,16.88755556,1.824,1.629,5.3,0,0.001873,3530,73.52170732,81.22073171,52.98177422,43.61589161,8.978,11.492,,28.8,21.1,11.4912,528,77.72666783,54.09352132,68.40862006,699.93,31.620001,32.562,39.93609068,7.204860394,0.68000001,0.71241999,1.779242578,2.036361408,1,-1.015461068,,26.7,29.9,48.7,30.4,,42.8,3.3,79.73333333,,,,61.06258,9590309,,6
Cape Verde,CPV,CPV,280259,501000,1.708505663,1367000000,7531501556,15089.12463,35480.74858,,,4324.994593,8842.19043,,,1052.97,835.8412,1357.669,1398.075,1110.524,1484.923,1617.666,1909.401,2480.696,2882.905,3132.01,3504.137,3630.164,3780.815,2.926009719,,42.04158,62.36853,42.25638,6.658793,,12.00740217,,20.76087108,,8.106604249,,7.731494965,,65.3974254,,89.01693446,0.257142857,12.03193417,,-12500,90595.05,214221.6151,32.32547394,42.75880541,,20.14057644,,9.163712368,834.2921728,16.7641326,,0,0,0,0.625921007,6.926,2.663,23.3,,5.6541009,2549.333333,58.65165854,71.31436585,109.2971751,67.7776561,,,81.46197,,,,,29.66736945,14.27989383,77.53072551,96.94,,50.4,56.13710519,4.4643978,,0.4174,0.473492662,0.699253775,1,-0.816208381,,,,,,,,,,,,,16,,0.48635241,33
Central African Republic,CAF,CAF,2057734,4742000,2.455451795,3216000000,3303762144,3326.018368,1485.583047,1.237286,1.706827,2095.143519,1480.676237,,,1073.566,992.826,1029.311,984.5005,898.8535,843.0605,741.3204,655.264,634.363,547.2691,557.6293,614.945,633.439,647.5996,-1.231946476,-0.861600514,6.053466,9.353929,7.822491,-1.233902,-4.988315054,2.682302505,17.1284111,4.463617133,,,,2.106219292,39.91997007,22.39802735,61.05031669,36.85756692,,,,5000,966921.9,2073996.48,46.98964492,43.73674568,22.91395888,14.55461248,37.74842937,55.50909585,,63.249,1861,0.004819474,0,0,0.05938268,5.95,4.697,112,100,18.27844,1956,45.58490244,47.30287805,84.60490526,80.22844819,0.7459,3.5361,13.60313,1.9,1.2,2.3045,,0.511035079,0.27134606,3.798844835,2.97,,43.57,49.4,5.21,,0.82950997,-1.318912324,-0.824929844,5,2.030946005,,,,,,,,,,1,,,6.5045552,631687.8,0.024623601,21
Chad,TCD,TCD,4144061,10300000,2.677846089,3674000000,19045784045,2108.251907,4837.780271,,,2211.607878,3070.822831,,,818.6092,829.5451,901.3762,930.0336,580.0737,793.414,743.954,799.423,731.189,1293.905,1267.554,1217.122,1188.112,1276.996,0.932485321,,8.514304,17.80867,11.79938,36.5869,9.08011158,5.9,17.79423168,15.6,,,,6.752585138,25.85061152,70.1,40.25327867,112.2,,,,-75000,1742676,4283235.968,42.05237326,41.58481522,15.49358506,,38.28974192,,,65.6700852,10944,0,25.16677336,0,0.036216024,6.683,6.081,124,98.76781702,24.158911,2040,46.34860976,48.9337561,87.66481163,94.37695192,,,24.08426,,,,,1.675865185,0.116007707,23.96897704,1.59,,39.78,46.56,6.26,,0.86201602,-1.527879483,-1.385581635,,1.751530427,-1.7,,,,,,,,,1,,,15.31419,1268417,0.024317499,31
Chile,CHL,CHL,10300000,16600000,1.403702353,1.192E+11,4.95128E+11,36112.07467,,2.343325,2.950183,,,,3435.175,3780.408,3951.073,4550.378,3774.584,5102.591,4376.18,5636.62,8065.792,9449.438,11220.09,11646.16,12136.93,12584.65,11999.25,3.401629323,,13.49257,23.89254,20.43106,24.98312,14.99436428,26.81472055,15.66963514,13.35892906,0.60887208,-4.37815548,0.691900091,7.760677704,27.41051818,30.36256091,52.84820443,68.49852499,0.685714286,0.886803804,,30000,3300835,,,,38.40752198,42.06337069,6.630766749,3.304024488,2736.951965,13.3177706,2223,9.868599308,0.125777544,0,4.306640695,3.163,1.926,7,0,0,2957.333333,65.3247561,78.72682927,73.35112924,46.38731369,6.001,9.7417,,25.5,11.6,9.5875,434,33.98355889,21.06840995,96.93556936,141.15,46,52.06,57.02,4.14,0.58999997,0.18614601,1.25052559,1.370963203,1,-0.628275196,1.39,39.9,51.9,44.6,39.7,41.7,12.6,3.5,70.46666667,,,,-35.81583,668868.7,0.1016827,9
China,CHN,CHN,918000000,1320000000,1.068204779,1.188E+12,2.63861E+13,2605.263158,33984.47448,1.891689,2.763748,1059.99628,12867.47207,,309.6465,403.0984,406.5744,439.9186,526.5341,713.8657,1102.006,1409.422,2352.302,3196.684,5188.644,5746.36,6444.561,7014.167,7634.281,7.864964544,4.081084466,31.34384,42.94306,34.10244,49.8529,30.191145,52.07820397,7.515430002,13.04331482,,1.463972375,,1.568415123,4.567687959,22.32892716,9.158706407,49.0726916,0,,,-1731080,456000000,783157007.2,49.67320261,59.3300763,45.72448293,46.29537719,32.39915802,10.34516177,314.9624797,60.812344,6547,0.201270839,2.944395181,0,4.957199039,3.783,1.769,16.6,15.76206982,0.27929199,2974,64.47595122,73.31104878,78.21202058,39.39803261,3.1256,7.549,78.19266,6.2,4,6.8705,587.5,28.84052093,23.55910054,56.10382588,40.88,32,41.53,47.81,5.73,,0.1537903,-0.347940908,-0.528107398,7,0.439277563,,69.1,16.1,27.5,2.4,89.5,52.3,4.1,65.66666667,,1,,36.591141,9344594,0.70660383,6
Colombia,COL,COL,24100000,43700000,1.750400769,1.624E+11,7.67643E+11,24010.186,42312.75587,2.006601,2.647863,12564.3068,17357.19837,2201.362,2480.926,2478.316,2636.686,3064.504,3526.241,4214.866,4157.369,4620.019,5271.977,5816.524,6662.099,7068.009,7523.62,7644.885,7529.01,2.230973906,-0.148813544,17.96671,26.42592,21.00208,18.94949,18.78709052,20.47798503,8.886518645,15.94830275,0.237191529,2.557188819,0.282997832,3.079150935,14.07032237,18.32004863,29.86857863,34.57524435,0.4,5.342816324,,-120000,6763796,18955693.77,28.06554357,43.37687362,29.8314679,34.38804354,24.38788343,7.465133569,1606.848235,15.0561555,967,0.327837222,5.868200475,0,1.428944839,4.631,2.404,16.2,52.33895183,1.155937,2662.333333,62.76058537,73.2087561,89.30343559,52.97115524,3.8579,7.339,94.63456,9.4,8.5,7.2853,391.5,45.52989595,16.42672756,92.3343861,41.48,46,58.49,62.1,2.52,0.64999998,0.60140002,-0.440323015,-0.291852005,3,1.669828072,0.66000003,48.2,59.2,20.1,47.7,,14.5,4.3,76.8,,,,3.881151,1153540,0.1534514,1
Comoros,COM,COM,272685,752000,2.983585415,1099000000,1822564212,9834.891941,4922.120752,,,3277.12977,2121.989075,,,757.2097,1036.427,1234.035,1342.952,1402.366,1490.546,1302.206,1167.128,978.8973,960.6295,949.5244,927.8773,927.384,915.7739,-1.126046926,,37.84146,15.89213,25.234,-17.49607,,-21.10040932,,15.25234197,,,,1.697928095,,48.16492953,,62.83125158,,,,-10000,111745,324536.0596,40.97951849,43.1563909,,12.10950073,,46.30912028,195.8968242,69.4382022,,0,0,1.032149692,0.192409396,7.054,3.885,74.8,,12.47271,1857.333333,49.98682927,65.75873171,0,70.13615201,,,,,,,,3.686854923,3.853749591,15.17224248,8.5,,64.34,68.1314244,2.556918597,,,-1.08628092,-0.752556892,3,1.011918183,,,,,,,,,,1,,,-12.16667,,0.99078339,38
"Congo, Dem. Rep.",ZAR,COD,25000000,69000000,2.985972587,34100000000,41005181729,3527.228497,1573.959197,1.312381,1.711479,2493.339641,640.2147102,786.0832,1089.923,1092.256,1004.09,1052.986,964.1891,770.0177,761.2148,724.2761,392.2254,117.2166,217.8766,220.0064,227.1434,234.4897,231.2867,-4.198909914,-3.728270238,10.91115,21.57333,14.18551,0.0491426,12.69285538,17.73727843,11.62822188,7.904116271,,,0.089085614,8.996273901,15.0909308,21.72695986,25.05406557,31.34423025,,,,-100000,9667647,24927234.64,38.670588,36.12642701,37.22371116,24.04352994,17.73448027,42.90833842,63,57.2545,9330,7.869322453,2.857826869,0,0.038912149,6.366,5.908,125.8,100,11.88663,1585,45.02058537,47.7715122,91.26252659,97.31418677,0.9363,3.47,36.6514,1.2,0.7,2.0714,,0.552859712,0.060587366,15.39432719,,,44.43,50.6,5.47,,0.874726,-1.700841892,-1.416682527,6,2.130239742,,,,,,,,,,1,,,-2.9202759,329168.3,0.067516297,17
"Congo, Republic of",COG,COG,1453650,4013000,2.986651342,4538000000,17934922014,7786.730745,10324.92456,1.62205,2.106879,3762.320713,5588.683291,,,791.0962,894.3774,1234.467,1508.361,1756.826,2454.3,2437.456,2182.639,2288.346,2188.808,2192.052,1913.355,1997.696,2220.276,1.137082005,0.374460412,19.98446,21.79855,19.17123,51.38809,11.25304027,45.53972462,18.00487226,12.24956971,,,,21.74896002,63.74695864,50.89653895,99.6350365,122.7559151,,,,-50000,582786.3,1594287.442,40.09123929,39.72806982,32.42092457,71.07536353,14.47688564,4.512385058,,31.9766,8527,0.023193865,50.58063448,0,0.446765725,6.325,4.268,80.5,100,14.32246,2513,57.27119512,53.711,93.35389541,79.45036222,1.5176,5.8842,,2.3,1.2,5.2142,,6.657287096,0.659755613,58.94359823,4.38,,47.32,53.14,4.96,0.47,0.874726,-1.189322657,-1.217178366,6,0.411062328,,,,,,,,,,1,,,-0.87841302,,0.028931186,20
Costa Rica,CRI,CRI,1991580,4455000,2.367937551,19580000000,1.10062E+11,30039.89415,53139.98757,2.105283,2.777699,22683.92246,23474.49067,3481.082,4617.204,5023.874,5605.647,6485.881,7423.944,8432.008,7178.136,7465.199,8180.056,8940.258,9950.027,10593.95,11214.13,11410.05,11217.14,1.213919157,-1.001936891,14.95165,18.28613,19.23905,19.42257,13.15532735,20.86665595,15.22142774,16.71569892,,3.601163598,,4.605080427,38.54777842,42.09762394,68.60978581,85.39157725,0.4,4.015175482,,30000,651799.9,2128794.162,32.72777895,47.78438074,,27.24194646,,7.084280135,2271.547636,15.8405172,3121,0.065581759,0,0.136582817,1.81935246,3.968,1.943,9.6,0,0.039499,2813,69.5464878,79.03987805,85.35528119,47.43495831,4.4936,8.3495,96.11906,17.3,13.2,8.3789,,34.48392588,32.59713755,42.59317376,218.67,50,50.31,55.36,4.18,0.73000002,0.2368,0.562549768,0.696520642,1,-0.651040649,0.77999997,,,,,,,,,,,,10.0115,50525.34,0.2439795,13
Cote d`Ivoire,CIV,CIV,7030905,20600000,3.161693071,14690000000,26019286311,5680.807456,3180.826051,1.322437,1.706096,4194.238402,3305.757825,,,977.1134,1166.661,1430.606,1542.601,1543.822,1615.284,1617.493,1441.821,1509.895,1328.362,1314.543,1299.899,1296.777,1342.95,-0.407650782,-0.631028026,16.5651,6.81698,9.408295,22.10736,22.58837131,19.19591316,16.99221123,8.569685231,1.737625031,1.415765108,1.773575894,1.634355109,36.58478423,33.7543816,73.31336678,75.47411751,0.171428571,32.54094405,,-144888,2585900,8368662.034,36.77904907,40.62457298,17.040144,25.19741913,28.24445816,24.38043641,346,37.9259,,0,3.130283033,0,0.317004854,7.917,4.514,83.1,100,23.327009,2514.666667,52.49165854,57.95178049,90.41401272,80.18270131,0.9459,3.3116,,2,1.3,2.3381,,4.593117631,1.338409804,63.3256639,14.66,,41.5,47.6,5.6,0.68000001,0.82042402,-1.332152418,-1.163169386,6,1.52873426,-0.98000002,,,,,,,,,1,,,7.6115732,313565.6,0.1194654,14
Croatia,HRV,HRV,4255000,4489000,0.157456464,,1.91908E+11,,95034.76987,2.169132,2.689417,,33972.2441,,,,,,,,,10800.17,7920.04,9683.66,14111.35,14820.92,15622.93,15994.61,15088.13,,,,28.86064,,22.55395,,23.34757499,,19.71504556,,3.203492555,,4.68212969,,39.41219932,,75.50066182,,1.508674528,,10000,,1993704.489,,44.41310958,,27.14250105,,6.726010832,8583.059101,4.3537415,,0,0.652914871,0.183811322,5.595116321,1.996,1.465,4.5,0,0.00429,2986.666667,70.00195122,76.14268293,48.16998575,47.8029514,6.3482,8.9767,89.89261327,7.6,4.9,8.5562,473,50.39929029,41.94922432,136.1703243,189.52,,33.65,41.96,8.05,,0.36902601,0.216400907,0.03488547,1,-0.598978584,,28.6,21.3,44.2,19.1,57.7,21.9,3.3,60.7,,,,45.110081,53732.65,,30
Cuba,CUB,CUB,9290074,11100000,0.523525265,,55859397735,,11343.55887,2.309811,2.912083,20227.56234,25722.22171,,,,,5536.74,6625.175,7478.717,10610.19,10210.17,7323.092,8348.135,9132.61,10212.98,10956.77,11136.87,11518.33,1.626655567,,5.51049,3.126708,3.721704,13.82443,14.40161881,,31.57756218,,,,,,44.19017987,,76.82704337,,,,,-194212,3042797,4970545.096,32.7532052,44.77968555,18.62451928,,13.32103963,,,12.9150303,,,,,2.412703966,2.844,1.505,4.4,0,0.21363799,3295,72.20260976,78.8934878,79.0807076,42.07994593,6.0504,10.2033,89.62471,8.9,6.8,10.0239,,14.32501084,10.42021817,3.953881498,33.45,,,,,,,-0.647642189,0.290995337,7,-0.025755891,,,,,,,,,,,,,21.69808,100428.7,,41
Cyprus,CYP,CYP,610500,1085000,1.691344037,15270000000,52198856041,60409.90912,93949.78474,2.358599,2.907068,11451.44307,46170.92443,2585.223,3345.75,3335.814,4446.819,5997.577,4741.387,9151.731,11106.33,15172.29,15559.2,17225.1,18379.11,18760.74,19465.52,19856.69,18980.62,4.079672793,,27.50923,19.35016,27.14735,10.66752,1.322957198,,17.47081712,,,-58.40355011,,23.59486472,56.692607,,92.17898833,,1,0.592112114,,25000,252773.1,446037.6948,41.40427518,41.10946496,25.17509728,,15.71984436,,5177.819186,5.3409091,,0,0,0,9.59542008,2.352,1.516,3.4,0,0.076122001,3199,72.5332439,79.76890244,55.65616409,44.46536051,5.9019,9.7518,,23.4,18.4,9.0157,,49.80815948,47.588389,112.2250975,336.58,,,,,,,1.162689631,0.997664459,1,-0.370542723,1.08,40,49.9,44.5,42.3,,9.9,,,,,,35.031151,9181.428,0.62012988,21
Czech Republic,CZE,CZE,10000000,10200000,0.058243021,,6.05119E+11,,119244.0503,2.628232,3.073563,,42913.432,,,,,,,,,15360.89,14784.34,16302.01,19695.47,21038.41,22400.42,22973.88,21956.91,,,,21.00484,,28.49365,,27.25348121,,22.10265914,,3.895627562,,1.400903318,,63.79757542,,133.3170213,0.257142857,0.000440033,,225700,,5218890.02,,51.16558843,,37.21759084,,2.282839367,2954.925517,6.1953703,11746,0,0.257352538,0.023612085,12.08243263,2.43,1.49239,2.8,0,0.000281,3316.666667,70.41463415,77.07804878,54.28576129,40.85119736,9.9346,12.3199,,10.5,5.6,12.1492,496.5,63.68779892,19.94224006,135.9241637,240.03,20.709999,,,,,0.322164,0.963471032,0.459860242,1,-0.91932674,,36.3,16,31.1,7.4,62.9,25.6,3.5,64.56666667,,,,49.779289,80164.98,,31
Denmark,DNK,DNK,5059861,5501000,0.245855533,2.112E+11,5.66272E+11,84955.75221,192455.575,2.631493,2.876284,38371.65739,63071.67227,9350.909,9940.032,12122.61,15146.41,17790.11,18852.68,21329.64,24537.26,26300.85,29072.03,33122.53,34703.75,35876.94,36339.44,35875.21,33908.88,1.726534847,0.485517143,17.91651,21.83266,20.51458,22.5974,20.19506749,20.86045412,24.78121937,29.90302494,0.475156992,2.837877903,0.67421013,0.938385025,31.89076572,43.96184864,62.09018465,91.73172341,1,,,30000,2486000,2957472.7,49.13178445,53.76245592,28.55784532,22.45506779,5.293598908,0.91521763,21233.74482,2.5542784,,0,1.454445956,0.004411856,9.146853997,1.919,1.83868,3.3,0,0,3397.333333,74.07512195,78.59756098,56.22307897,52.69182383,8.642,10.2743,,19,12.6,10.0571,501,85.9155006,37.29244548,133.9417319,655.97,31,,,,0.70999998,0.081859998,1.871835991,2.421275734,1,-1.035622076,,9.6,14.4,32,8.2,58.7,66.5,,79.8,,,1,56.114159,32407.53,,8
Djibouti,DJI,DJI,207959,819501,4.033396099,,5461444049,,14872.79166,,,,4362.520862,,,,,5273.729,4927.073,3720.365,3903.937,3381.954,2407.598,1945.092,2198.196,2205.104,2166.167,1937.421,2061.431,-2.562778523,,9.612044,37.46039,23.66444,-1.289815,,,,,,9.233046734,,9.233046734,,,,,,,,0,,387240.5014,,47.2532067,,,,,,,5973,0,0,0.309278757,0.584103149,6.985,3.794,75,100,15.13316,3114.666667,45.46236585,55.7474878,92.41504959,64.78679872,,,30.45501,,,,,2.996984501,1.948849922,14.9011458,23.96,,39.85,46.51652171,6.017259207,,0.796166,-0.648975272,-0.259699471,5,-0.475128424,,,,,,,,,,1,,,11.70233,21507.87,,48
Dominica,DMA,DMA,73923,72420,-0.060416196,,1363798079,,,,,,,,,,,1628.526,2085.208,2427.914,3091.933,4254.856,4464.825,5023.055,5028.849,5333.65,5584.478,5708.002,6577.927,3.378973646,,23.08011,24.52888,27.94382,16.01848,,2.302367084,,18.07769999,,14.10082446,,13.32552617,,65.53901669,,103.9016689,,,,,,,,,,23.18403192,,19.53525724,2812.986068,20.8955224,3176,0,0,0.038832059,1.661029016,,,8.1,,,3115,,,,,,,105.46784,,,,,38.04575057,23.7785941,144.0303414,181.89,,,,,,,0.689282383,0.772254179,1,-0.750655132,,,,,,,,,,,,,15.41667,,,57
Dominican Republic,DOM,DOM,5048499,9691000,1.91796073,27050000000,1.63697E+11,15466.80298,37852.54427,1.8717,2.449282,10729.9183,21331.25642,,1942.567,2354.83,2412.415,2925.781,3717.071,4258.021,4535.61,4713.028,5664.031,7308.784,7955.19,8725.006,9341.336,9780.036,9911.116,2.88447342,0.616190824,23.53682,15.59795,18.65982,7.493244,22.20987444,6.819790958,6.170644127,7.832977694,1.775345159,3.456316099,1.775345159,4.416920415,30.01694694,30.25213333,57.73344663,52.50011526,0.228571429,,,-140000,1748907,4502717.667,34.64211838,46.46287965,31.63114877,32.45356317,21.47084098,6.214328653,1617.007673,11.1687042,13117,0.515899993,0,0,2.113569152,5.193,2.612,26.7,0,0.14118201,2263,60.79946341,72.71102439,93.57806605,59.90431558,3.407,6.9053,76.77064,17.5,4.6,6.9225,,26.77144277,9.56797376,85.52711451,,45,48.44,53.6,4.42,,0.4294,-0.720076477,-0.675284514,2,-0.123626419,,11.3,50.8,27.1,59.2,,26.4,3.9,68.33333333,,,,18.952209,45356.82,0.66783798,8
Ecuador,ECU,ECU,6871698,14600000,2.216500857,94600000000,2.72889E+11,41847.35271,43517.48891,2.049179,2.589722,14245.00083,15396.44562,,2616.069,2806.841,2910.151,3156.955,4686.208,5645.331,5071.063,4705.603,5108.236,4776.882,5767.066,5890.367,5973.841,6305.534,6171.286,0.809657404,-0.268789238,43.18732,27.25762,29.88132,20.98747,13.95999021,21.25670658,17.35857197,9.648895145,,-4.934648818,,0.552772067,32.15745504,48.09155511,58.12002937,85.22862579,0.771428571,,,-350000,2260597,5852050.39,32.89721114,40.08253692,,23.1690789,,6.244341798,895.0529675,19.8185118,3249,0.030821998,9.834209317,0,2.245885399,5.717,2.513,20.4,39.19480145,0.25306299,2304,60.06680488,75.27873171,91.84145405,60.191627,4.2738,7.585,81.13101,17.1,10.5,7.4274,,15.06155308,14.70985578,100.071185,38.86,,48.98,53.91,4.19,0.44999999,0.65499997,-1.282997155,-0.924179386,3,0.748772135,0.54000002,,,,,,,,,,,,-1.4628789,248705.8,0.1594062,16
Egypt,EGY,EGY,37000000,78900000,2.227245045,91810000000,6.13545E+11,8346.363636,23540.65977,1.339442,2.364222,4281.646727,14261.11281,899.7154,889.3954,1036.312,1247.708,1334.051,1272.922,1773.742,2390.711,2647.398,3402.778,3827.902,4280.676,4474.573,4685.245,4816.941,4955.667,3.99769625,1.408138555,38.08699,17.88194,20.88518,17.58729,12.26523602,12.43033452,24.87543181,11.39046146,,2.979254974,,3.562176916,41.28018254,31.87018379,61.46032868,56.91379346,0.142857143,4.88347382,,-340000,11000000,27417364.37,29.72972973,34.74951124,26.89873418,37.32116705,29.03481013,13.68036616,880,27.9281,912,0.112263355,7.010288388,0.141654128,2.304606589,5.653,2.816,18.2,0,1.765518,3163,53.2584878,70.3374878,84.11680862,58.39700176,1.2983,6.4028,,9.4,6.1,5.2976,,20.04322248,12.42486075,66.68992386,37.82,38,32.14,41.46,8.96,0.76999998,0.18359201,-0.026011403,-0.413353965,6,0.628869476,0.73000002,27.3,67.7,22.1,89.9,,18.5,3.6,68.73333333,1,,,26.409781,1000480,0.26040491,6
El Salvador,SLV,SLV,4071179,6031000,1.155824107,24240000000,67758637350,17901.86323,27692.8567,1.694375,2.422506,14151.53148,15288.43018,2886.703,3271.072,3397.199,3931.46,4148.936,4706.712,4417.828,4027.081,4020.236,5077.106,5428.068,5989.351,6238.561,6499.02,6654.647,6338.359,0.875383315,-0.901398448,14.37955,12.08855,14.19282,-2.02366,16.95221257,-2.380986233,11.19249267,10.45994171,,6.366087605,,2.041735101,38.21624752,37.75455558,71.26297514,60.01042629,0.314285714,4.940023562,,-279710,1354049,2500364.176,33.2593826,41.45853384,,27.46925656,,12.47864179,1081.729274,26.057475,,0,0,0.461748036,1.096183067,5.718,2.295,14.6,0,1.129957,2585,57.27136585,71.46004878,96.17201721,65.16029774,2.6128,7.543,,11.5,8.5,7.1123,,14.42467609,17.83415679,122.7678666,50.87,48.400002,46.93,51.86,4.34,0.57999998,0.1978,-0.782969192,-0.172486777,-0.0100234,-0.030036886,0.70999998,29.8,62.4,14,67,43.2,14.6,4.4,82.26666667,,,,13.78259,20886.14,1.232614,8
Equatorial Guinea,GNQ,GNQ,213292,633000,3.199436186,192200000,22080329853,2506.378747,90200.04799,,,3186.092838,53324.92528,,,567.6557,593.3208,646.186,1145.488,745.3237,717.7001,627.2881,751.48,5831.648,15421.75,15313.26,18075.45,21606.55,22031.48,8.696004684,,3.533005,30.72439,20.65612,86.0676,7.150134451,72.24186008,27.25769546,3.421769486,,,,15.71347917,50.81255324,41.55947225,93.79352964,115.6270072,,,,10000,76684.34,261527.3583,35.95275022,41.31553844,,91.88610234,,3.461581321,387.3296866,64.7907648,,0,66.03486697,0,7.462530948,5.674,5.283,88.1,100,13.94248,,41.23180488,50.6147561,100.7691075,78.15671966,,,,,,,,2.129317598,1.478692776,65.80182855,14.22,,,,,,,-1.271325178,-1.58438277,7,0.024322781,,,,,,,,,,1,,,1.6366,24629.74,,37
Eritrea,ERI,ERI,2421037,5647000,2.490966088,,7055763129,,2943.084357,,,,1553.313904,,,,,,,,,,763.1686,819.5441,715.3087,669.686,667.91,597.3434,592.4527,,,,2.584864,,-14.87967,,,,,,,,0.001898082,,20.25901878,,24.74844623,,,,55000,,2153834.063,,38.14120884,,22.2405913,,14.39691495,,73.7557427,6283,0,0,0.752541544,0.121081685,6.497,4.528,39.1,76.45484805,5.3869081,1587,44.54026829,59.85295122,91.85552331,78.52880339,,,31.75716,,,,,4.92777945,0.955457013,2.781830055,7.95,,,,,,0.65240002,-1.244108708,-0.332574588,7,0.798489344,,,,,,,,,,1,,,15.25868,128503.3,,55
Estonia,EST,EST,1432246,1299000,-0.287203246,,66168290703,,98078.0487,2.671548,3.21775,,30349.92665,,,,,,,,,9723.511,7666.01,10437.08,16143.95,18008.01,19052.56,18271.73,16264.25,,,,18.92042,,25.74551,,24.7388168,,22.1693955,,-9.937707748,,9.17628522,,65.23367935,,135.8331827,,,,0,,696122.3002,,53.58909162,,,,,1655.852587,8.8872293,796,0,0.682310193,0,15.24673094,2.08,1.62218,4.4,0,0,3129,69.61414634,74.82439024,51.45324456,47.3444201,7.9523,12.0062,,27.7,18,12.2254,520,72.34891017,36.76359445,202.9729659,482.88,,36,43.01,6.82,,0.50616997,1.129888619,1.00361137,1,-0.585251552,,37.4,27.8,49.3,5.5,45.4,22.2,3.5,55.73333333,,,,58.632061,38744.69,,33
